t,input_il6,nSTAT3_Obs
1500,0.1,32.1757881371353
1500,0.1,35.8272973140177
1500,0.5,46.1330910684159
1500,0.5,28.7847864747078
1500,1,22.2888810389596
1500,1,53.1995624064723
1500,2.5,49.3891824446108
1500,2.5,58.8910860199165
1500,5,68.2979195108029
1500,5,101.689099995471
1500,10,66.3001394047552
1500,10,65.0711865484417
1500,25,22.418472134533
1500,25,50.3038189118571
1500,50,38.8397797719167
1500,50,39.0189014437463
1500,100,46.360461376505
1500,100,41.2631666422559
1500,500,54.7805342502037
1500,500,106.208035062532
