t,input_il6,STAT3_Obs,nSTAT3_Obs
18,5,19.8625142048763,59.3346948080383
18,5,34.0147111416779,57.9343517178652
18,5,26.3396293366386,70.5405436800993
18,5,36.1595471074806,74.5927065254752
18,20,41.908866915498,148.484792462415
18,20,33.1405929721567,81.0633049718533
18,20,42.4134961110327,144.951455478555
18,20,55.1170092946309,92.0128873678333
18,40,39.2836930037708,39.3411333810953
18,40,48.6388635351017,66.2590217705756
18,40,44.0389657807045,37.3371812030426
18,40,71.6359468628821,66.2663358858972
18,90,16.0682947221631,50.1690235052227
18,90,20.4980923750681,232.766638397849
18,90,17.7123452390044,130.106815953979
18,90,22.6615186199041,169.498653631922
