t,input_il6,nSTAT3_Obs
17,0.1,46.6298220847234
17,0.1,45.037132613524
17,0.1,28.2638413978116
17,0.1,58.5593733990819
17,1,18.2563226523791
17,1,112.180402876461
17,1,40.0699985130214
17,1,78.8485194720773
17,5,225.089696256585
17,5,59.8758765974703
17,5,62.5486255724588
17,5,51.8596525391519
17,10,102.492625491672
17,10,45.9357865353185
17,10,320.973377382867
17,10,195.248651455215
17,50,44.6009895985893
17,50,142.276026546015
17,50,22.8982474718089
17,50,104.964784084378
17,100,223.96408601019
17,100,137.23979184177
17,100,130.532172300284
17,100,115.681459464475
17,500,132.203875935709
17,500,191.628437833413
17,500,103.331007022803
17,500,79.7253014275839
