t,input_ruxolitinib,STAT3_Obs
14,0,27.3707493625082
14,0,28.9749830324634
14,10,28.260695503614
14,50,28.7065869984841
14,50,29.3291925242654
14,50,28.5364303690941
14,50,28.7360144474911
14,100,29.262654121379
14,200,28.8826449437407
14,200,30.5263577783644
14,400,28.1076451293519
14,500,30.5766624837224
14,500,28.9574043869661
14,500,29.1153850818007
14,500,29.0949254656275
14,600,29.1810023599909
14,800,28.7648873058308
14,1000,29.3897586766643
14,2000,29.2225742029868
14,5000,27.112275741893
