t,input_il6,Compound_2_Obs
0,2.5,0.00760033497128115
0,2.5,0.0084756129336541
0,2.5,0.00905247863470328
0,2.5,0.00810754540248941
0,2.5,0.00795617225333144
0,10,0.00883929261027129
0,10,0.00795122758238738
0,10,0.00749556794779929
0,10,0.0083010999840809
0,10,0.00707861075105541
0,60,0.00892626505429629
0,60,0.00921900165793673
0,60,0.00904099247593284
0,60,0.00943911819920931
0,60,0.00914041374130614
0,120,0.00925246785698271
0,120,0.00789193191233662
0,120,0.00814836640530399
0,120,0.00929412685310262
0,120,0.007316446245656
