t,input_il6,STAT3_Obs
620,0.1,24.0189392218402
620,0.1,20.3747759347915
620,0.5,18.1571519612499
620,0.5,20.3056522067897
620,1,23.4965529158877
620,1,23.9399096505701
620,2.5,15.6302930536073
620,2.5,15.3541890876315
620,5,10.2726570533322
620,5,8.53391730769214
620,10,19.2396651375049
620,10,17.2316041761755
620,25,10.8130203348316
620,25,17.481872464879
620,50,20.0531638712641
620,50,15.3990387874801
620,100,11.0374981019269
620,100,12.1501764980629
620,500,7.68278156519413
620,500,6.48273252863517
