t,input_ruxolitinib,nSTAT3_Obs,nSOCS3RNA4_Obs
11,0,89.4399452973103,0.017341979718231
11,0,94.878644769724,0.0167584002028009
11,10,94.445653894799,0.0174626568942566
11,50,79.369563110378,0.0142998960239902
11,100,41.0382830862847,0.00795928061539492
11,200,42.0412546359893,0.0117544868813759
11,400,52.2912145964292,0.0123456671613437
11,500,46.6934438837505,0.0101434085529597
11,600,64.0525751243468,0.0145179907703081
11,800,32.2446607050978,0.0109801809597623
11,1000,58.2146852533907,0.0113657927793746
11,1000,70.9415939923838,0.0149910075731429
11,1000,52.2619227290864,0.0121440005685077
11,1000,37.1935007363251,0.00777325329756241
11,2000,34.3085306458745,0.011215725115334
11,5000,37.8839013981494,0.0130463177026779
11,5000,26.6021614637178,0.00758379121907878
11,5000,42.7018946586171,0.0111808775921742
11,5000,49.9171339202452,0.00836242291615749
