t,input_il6,tpSTAT3_Obs
240,0.1,0.307592750399021
240,0.1,0.561939292859915
240,0.5,0.842323628621908
240,0.5,0.412186789041825
240,1,1.29478996156207
240,1,1.45217511430205
240,2.5,5.07778541452482
240,2.5,5.12166640691322
240,5,11.0270523320593
240,5,15.1638642797656
240,10,2.66700907833032
240,10,1.63944434788077
240,25,11.4796852059029
240,25,8.12726695616002
240,50,4.08641030726978
240,50,4.97826308286462
240,100,11.2205967096685
240,100,11.8600692751923
240,500,11.532406280991
240,500,16.2392698382102
