t,input_stattic,Compound_4_Obs,Compound_10_Obs
0,0,26.0413630249546,27.7151849679732
0,0,33.5985969893741,32.7551553892701
0,1,29.2505700168884,34.4603083792832
0,1,31.4025362774759,34.7884524213871
0,5,33.3692132339478,26.9361624249072
0,5,33.58378495227,31.9184692593447
0,10,28.2162912808906,28.9013794239526
0,10,28.6149606527481,27.9803920282615
0,20,23.3670938022209,35.3789434768089
0,20,37.6120102828342,26.9499365575535
0,50,26.3762301021097,29.0823287376373
0,50,30.7891953132383,28.9321942641845
