t,input_ruxolitinib,Compound_4_Obs,Compound_10_Obs
20,0,24.564645558624,31.8729793146833
20,10,32.7716775640995,31.6399757778164
20,50,34.314226075421,25.4501244703806
20,100,24.0023566115578,27.9030063981297
20,200,27.153392132216,32.313766687343
20,200,25.6008576120097,32.468102575974
20,200,30.1315033680274,26.4921046624398
20,200,28.2804602089576,25.3907020771069
20,400,32.9479191040978,37.920302296524
20,500,28.5781963914694,29.4216564753871
20,600,26.861400918482,29.4930765423074
20,800,24.593408692032,31.2708551793405
20,800,33.1081580160326,30.2793032306033
20,1000,26.2991571928584,30.7536718250992
20,1000,28.8177070291665,26.6143882745048
20,2000,27.4272481437852,23.1091182158471
20,5000,27.4230342647419,34.0159244468337
