t,input_il6,nSTAT3_Obs
290,0.1,14.3740540674584
290,0.1,14.4196512409936
290,0.5,14.5896231612903
290,0.5,14.5722088203726
290,1,14.8391030365144
290,1,14.8164006729964
290,2.5,18.7434596076031
290,2.5,18.7490119421043
290,5,35.7028542251066
290,5,35.7337362393543
290,10,15.5190521284657
290,10,15.5111768143953
290,25,23.6477765995346
290,25,23.6475698769547
290,50,16.6687978042114
290,50,16.6898188101423
290,100,29.1761791330428
290,100,29.2025947266971
290,500,48.8258820314945
290,500,48.76217418743
