t,input_il6,pJAK1_pgp130_Obs
410,0.1,-8.96538699286819
410,0.1,-0.695547951540925
410,0.5,0.099446090809644
410,0.5,5.08415442867922
410,1,-4.0958267267851
410,1,-1.13075879024401
410,2.5,2.80931112147243
410,2.5,-3.59793974209958
410,5,3.73582476679983
410,5,2.24265394126875
410,10,0.610022830991516
410,10,11.1507596576354
410,25,9.07878809481228
410,25,9.96982068540145
410,50,18.1200863876153
410,50,-1.90275718286635
410,100,4.50340621757199
410,100,-5.928275943208
410,500,-1.11241331553143
410,500,-8.06686261497532
