t,input_il6,STAT3_Obs
230,0.1,26.6537812534728
230,0.1,32.0989257769168
230,0.5,32.4069244701157
230,0.5,28.9309714531468
230,1,29.8715466878429
230,1,31.8013864911285
230,2.5,28.9606089098748
230,2.5,30.4395278578581
230,5,24.7107941169875
230,5,34.1279872623462
230,10,33.5124562749894
230,10,28.3402419510135
230,25,26.5511872879379
230,25,28.5195650706625
230,50,30.4874632561328
230,50,31.9239823259588
230,100,28.0955584702988
230,100,27.7023896986714
230,500,30.1508957995282
230,500,32.9749516935772
