t,input_il6,pJAK1_pgp130_Obs
16,0.1,0.000876469063300204
16,0.1,0.0008904331031066
16,0.1,0.000675908499693613
16,0.1,0.000686066469978535
16,1,0.001996958957028
16,1,0.00196385759984891
16,1,0.00193307284996301
16,1,0.00177039044565131
16,5,0.0116979742105707
16,5,0.0116706810091599
16,5,0.0116441195427174
16,5,0.0110422905502702
16,10,-9.96923877868155e-05
16,10,0.000155431242623086
16,10,8.03870573118068e-05
16,10,0.000314824909943591
16,50,0.00651767418882679
16,50,0.00665311609394855
16,50,0.00692785159603199
16,50,0.00685910933333003
16,100,0.00105209663384469
16,100,0.000603074959804242
16,100,0.000511921204331474
16,100,0.000390084847702361
16,500,-0.000207229454672993
16,500,-0.000148361574797791
16,500,4.55881969844464e-05
16,500,-0.000513558659046073
