t,input_il6,Compound_1_Obs
1200,0.1,66.7655553475599
1200,0.1,33.7559805818944
1200,0.5,50.415549476561
1200,0.5,75.9244755307656
1200,1,75.4392232552996
1200,1,36.8614020398479
1200,2.5,35.9337209529001
1200,2.5,89.8345265526776
1200,5,63.0966576515479
1200,5,74.2680163138102
1200,10,38.6923480488528
1200,10,54.3590461046924
1200,25,73.3270310102548
1200,25,58.0885998229902
1200,50,87.5897933084945
1200,50,73.073626103954
1200,100,58.0971231873019
1200,100,32.6676063277532
1200,500,36.1424216094867
1200,500,29.5501659404318
