t,input_il6,Compound_1_Obs
610,0.1,42.8698008107462
610,0.1,46.2881469640884
610,0.5,70.0581318822734
610,0.5,63.1962389546994
610,1,48.6883516552641
610,1,49.3565108101839
610,2.5,41.6792198783459
610,2.5,58.1109667673294
610,5,51.5676375540734
610,5,38.8659956206914
610,10,53.147469178704
610,10,80.2872621874768
610,25,35.2656146865437
610,25,59.0856050312119
610,50,35.0826394774922
610,50,45.758923532443
610,100,38.9545292091359
610,100,38.5448555373989
610,500,16.2319549695284
610,500,35.6167962404042
