t,input_ruxolitinib,Compound_1_Obs
12,0,78.6406455348362
12,10,78.1923659518921
12,50,48.1249136811166
12,100,47.9987339907793
12,100,14.7040225529324
12,200,29.0090094025121
12,200,41.42543678102
12,200,30.5851648642093
12,200,27.0842939193121
12,400,17.5261368568704
12,400,15.3372459766867
12,400,12.2889053779291
12,400,14.2616037427663
12,500,25.3331297182846
12,600,22.0294236589516
12,800,21.116896140426
12,1000,27.6738860499341
12,2000,50.7398637555919
12,2000,21.9370076266933
12,2000,15.8159995162495
12,2000,19.5916135912113
12,5000,20.1705703623213
