t,input_ruxolitinib,pJAK1_gp130_Obs
25,0,0.000416128299788619
25,10,0.00042145039245104
25,50,0.00030249256636948
25,100,0.000188205240308638
25,200,0.000317380134610046
25,400,0.000200590939493352
25,500,9.45587059715761e-05
25,500,4.26271416057948e-05
25,600,0.000102941141900043
25,600,0.0002993938410801
25,800,0.000423550755454561
25,1000,0.000198470128662317
25,2000,0.000174538832938482
25,2000,7.11891045451067e-05
25,2000,0.000276450969009009
25,2000,0.000190478803553982
25,5000,0.000183451332750223
