t,input_il6,STAT3_Obs
240,0.1,14.7945299319241
240,0.1,16.07503225793
240,0.5,16.5059887716541
240,0.5,16.665895882357
240,1,16.4981057307698
240,1,13.4561162186877
240,2.5,14.6715359870914
240,2.5,11.9947550032258
240,5,14.8838089688512
240,5,15.5459059200064
240,10,15.500441130812
240,10,18.1231895825028
240,25,12.2024533143742
240,25,17.3963672717992
240,50,14.4332292628057
240,50,16.1390897340561
240,100,14.1851635618455
240,100,15.1959347149461
240,500,13.7205663286202
240,500,12.6861828888957
