t,input_il6,nSTAT3_Obs
38,0.1,19.5000274767342
38,0.1,15.4467294563333
38,0.1,19.4033005660406
38,0.1,18.8356200010857
38,1,22.6077281020493
38,1,24.686020484736
38,1,21.1100859386666
38,1,28.5579227858346
38,5,34.4403722338956
38,5,35.8588121208754
38,5,39.1589443827665
38,5,38.1095561398907
38,10,41.6405344176776
38,10,43.2323087918605
38,10,41.2191125354837
38,10,42.9393075944442
38,50,31.741491956788
38,50,32.6038595239421
38,50,32.4591133549073
38,50,32.3149624794571
38,100,39.7837071980567
38,100,39.0034741859869
38,100,40.8710199414325
38,100,41.0111064153018
38,500,42.1471750334855
38,500,44.4299859844258
38,500,39.434744430274
38,500,43.0636541648773
