t,input_ruxolitinib,nSTAT3_Obs
30,0,18.4041320805471
30,10,16.3550138512708
30,50,16.9910218304489
30,100,15.8033593817707
30,200,16.3547517219554
30,200,16.8834613121335
30,200,17.1307583142511
30,200,17.1810588772635
30,400,17.6750739071166
30,500,14.4319835937398
30,600,14.5843258345594
30,600,14.7674148477197
30,600,16.3455862967262
30,600,17.4273564169004
30,800,16.4629760255434
30,1000,14.7587639185081
30,2000,15.0376598182719
30,5000,14.548776378804
30,5000,15.7368186842042
30,5000,16.5135659555522
30,5000,17.1042247952363
